# created on: 2021-02-22, 14:13:14
# track: berlin
# GUI mode: 2
# s_m,x_m,y_m,ax_max_mps2,ay_max_mps2
0.0000,105.0785,141.5841,12.4418,12.8532
44.9765,77.7136,105.8941,11.7551,11.7476
98.9527,45.7755,62.3811,11.7962,11.4158
212.8881,-12.4783,-35.1460,11.9996,12.5269
404.7891,-13.0975,-213.7312,11.6272,12.5893
467.7251,12.4647,-173.4387,11.2132,12.1734
488.6117,-4.2089,-161.1102,20.0000,21.0000
512.5905,-19.1601,-143.4601,20.0000,21.0000
533.4852,-10.5556,-126.0624,20.0000,21.0000
575.4583,30.3038,-131.1873,20.0000,21.0000
593.5039,47.3606,-137.0782,20.0000,21.0000
614.4420,67.3625,-143.2624,20.0000,21.0000
635.4250,87.6020,-148.7945,20.0000,21.0000
659.4811,111.0824,-150.8711,20.0000,21.0000
680.0131,120.8209,-134.2391,20.0000,21.0000
698.3734,120.4823,-115.8906,20.0000,21.0000
788.1537,169.3955,-42.4465,12.6470,11.7876
938.0745,273.4276,65.5035,12.8834,12.5690
1120.9687,416.8692,177.6065,11.5129,11.6341
1141.9591,435.2822,187.6839,11.2584,11.6568
1204.9346,490.4639,218.0286,11.3972,12.4209
1255.8454,526.8271,251.7707,11.2128,11.7327
1279.8537,522.5505,274.5525,11.1821,12.6664
1411.7711,396.2278,294.4410,11.5537,12.1379
1468.7061,342.3459,277.7118,12.1252,11.3558
1498.7020,322.3686,255.7205,12.0033,11.6984
1552.6692,311.2448,203.3823,11.9966,12.7459
1591.6477,303.9943,165.1871,12.7997,11.4730
1612.6335,295.6077,145.9770,11.4493,11.0184
1672.5893,258.8148,98.8698,12.7909,11.4655
1741.5804,212.0735,48.1252,11.2540,11.5281
1813.6172,163.3070,-4.8942,12.6485,12.3847
1840.4971,140.2917,-15.9074,11.0533,11.8769
1861.2805,130.1507,0.1669,11.6132,12.8899
1906.3219,152.6587,38.5471,11.7492,11.0640
1969.2680,191.9253,87.7425,11.3649,11.9777
2038.2123,231.1896,144.3054,11.0014,12.8506
2056.2210,239.6566,160.1993,12.5285,12.1075
2074.2463,248.3316,175.9986,11.4703,11.9691
2095.1922,257.7905,194.6701,12.2372,11.2678
2119.1348,261.7466,217.9773,11.7777,12.5367
2137.1403,252.0777,232.6741,12.9929,11.7063
2320.0404,105.0785,141.5841,12.4254,11.2696
